sample_id,species_id,burn.date,trial,time,rh,windspeed,air.temp.F,mass.pre,mass.post,temp.d1.pre,temp.d2.pre,flame.ht,flame.dur,temp.d1.post,temp.d2.post,vol.burned,max.temp
BD01,1022,6/23/2021,50,11:38,56.2,5.5,84.9,221.8,201.7,166.9,152.3,0,0,164,146,5,186
BD02,1021,6/23/2021,51,11:46,52,3.2,86.4,74.1,25.6,166.9,149.3,58,22,178,176.4,35,274.2
BD03,1036,6/23/2021,48,11:25,56.2,4.1,84.6,104,67,154.1,139.2,29,8,161.7,148.2,8,257
BD04,1022,6/23/2021,44,10:07,63.5,8.7,80.1,223.4,27.3,170.7,158,84,176,253.1,223,90,265
BD05,1000,6/23/2021,52,11:52,52.2,3.6,86.9,42.1,29.5,173.2,155.3,11,7,177.2,164.1,8,229.2
BD06,1094,6/22/2021,30,9.52,53.3,2.2,74.7,82.3,62.5,164,148.4,16,6,166.2,156.3,8,227
BD07,2009,6/23/2021,45,10:18,61.3,3.6,81,82.2,63.2,172.5,162.4,3,13,178.1,160.1,12,257
DP01,2012,8/16/2021,91,12:31,50.6,1.6,89.4,38.1,21.7,151.3,157,39,12,165.6,152.2,30,213.4
DP02,1113,8/16/2021,83,10:25,54.2,1.6,80.8,37.6,30.2,146.5,152.1,18,7,140.3,160.5,30,218.1
DP03,2011,8/16/2021,96,1:16,33.4,1.5,104.7,241.4,202.6,160.7,142.3,0,0,152,139.7,1,198.7
DP04,2006,8/16/2021,89,12:14,50.1,2.8,83.2,245.9,210.1,159.6,133,41.5,27,153.5,149.5,10,176.6
DP05,2007,8/16/2021,90,12:23,46.4,3.5,84.6,141,125.6,150.1,133.2,19,14,164.6,146.5,4,223.15
DP06,1009,8/16/2021,95,1:09,44.1,1.3,92.8,45.2,30.2,154.4,134.6,18,45,163.5,152.2,20,198.7
DP07,1113,8/16/2021,94,12:56,33.8,1.4,102.6,58.2,33.5,142.4,150.9,59,38,158.4,148.2,40,194.5
DP08,2011,8/16/2021,82,10:16,56.2,1.4,80.1,132.7,25.8,141.8,151.6,84,89,189.2,231.6,80,319.9
DP09,2011,8/16/2021,80,10:00,60.8,1.3,77.5,66.2,31.6,144.4,151.1,48,6,180.7,184.4,30,223.9
DP10,1009,8/16/2021,86,10:55,53.9,3,82.5,57.8,33.3,146.3,153.6,54,11,166.1,168.1,20,264.9
DP11,2005,8/16/2021,85,10:46,54.1,2,81.5,16.3,13.3,143.5,157.5,69,4,146.1,155.4,7,256.5
DP12,2012,8/16/2021,81,10:08,55.3,2.1,79.7,28.5,11.2,152.9,157.9,16,7,152.7,173.1,25,247.3
DP13,2011,8/16/2021,87,11:02,51.7,1.3,83.1,234.1,59.8,161.4,161.3,92,119,204.3,234.5,70,265.7
DP14,2012,8/16/2021,92,12:38,51.6,2.3,90.7,64.1,43.2,150.8,149.8,39,7,163.5,153.9,10,198.5
DP15,1113,8/16/2021,84,10:34,57.3,1.7,82.3,25,16.1,140.2,154.4,10,9,150.8,161.7,15,274.6
DP16,2007,8/16/2021,88,12:06,48.4,2.1,84.4,73.3,60.5,152.2,142.4,28,9,163.7,156.7,7,201.8
DP17,2011,8/16/2021,93,12:44,41.8,2.5,97.7,402.8,159.7,155.1,147.1,64,264,182.7,309.7,65,223.6
ED01,1002,4/6/2021,21,12:28,42.4,0,78.8,40.4,31.7,125,114,5,15,137,124,8,254
ED02,1000,4/6/2021,24,12:47,41.4,0.8,80.3,80.8,73.2,134,115,20,18,126,116,8,297
ED03,2000,4/6/2021,19,11:36,26.4,1.1,90.2,129,107.7,141,138,24,39,137,145,18,346
ED04,1022,1/6/2021,5,12:48,37.4,1.3,85.8,88.5,64.1,138,140,15,22,135,142,5,NA
ED05,2001,1/6/2021,4,12:29,31.5,1.1,84.8,137.3,102.6,127,127,18,9,128,134,5,NA
ED06,QS,4/6/2021,11,9:57,58.5,1.5,72.5,120.1,56.6,124,114,24,58,174,176,65,360
ED07,1021,4/6/2021,15,10:56,36.1,1.2,82,80.1,48.1,135,129,31,60,136,146,40,253
ED08,1036,4/6/2021,17,11:25,38.4,1.6,86.2,72.01,52.8,142,126,10,11,140,121,7,239
ED09,2003,4/6/2021,13,10:13,58,0,74.6,154.1,116,144,146,1,5,135,139,5,148
ED10,1009,4/6/2021,25,12:52,43.4,0,82.2,8.7,7.5,127,117,11,4,128,119,5,172
ED11,2005,1/6/2021,6,1:02,43.4,1.2,74.2,9.7,6.1,144,135,0,0,141,133,10,NA
ED12,1021,1/6/2021,8,1:29,37.1,1.7,91.2,51.2,42.7,142,144,0,0,145,143,5,NA
ED13,1022,1/6/2021,9,1:47,43.1,0.1,85.4,168.3,22.5,155,146,34,229,209,170,45,NA
ED14,UN,4/6/2021,16,11:14,41,2,84.6,29.2,18.01,139,130,23,9,138,137,40,216
ED15,1070,4/6/2021,23,12:38,41.9,1.4,79.2,34.1,21,141,124,23,15,146,138,20,328
ED16,1002,4/6/2021,14,10:19,54.4,1.4,75.6,81.4,66.3,143,132,23,22,142,144,20,268
ED17,1059,1/6/2021,3,12:01,37.1,1.1,84,52.2,22.7,155,147,33,24,160,171,45,NA
ED18,1000,1/6/2021,2,11:47,32.1,0.7,84,93.2,64.2,144,148,40,5,152,154,25,NA
ED19,1022,7/17/2021,67,12:20,45.5,2.9,90.5,214.4,179.4,153.3,129.2,0,0,146.3,120.7,3,217
ED20,1000,7/18/2021,72,10:25,52.7,1,85.5,88.8,65.2,154.1,144.1,38,30,152.6,151.5,18,209.2
ED21,1021,7/18/2021,69,9:59,66.3,1,81.8,210.9,77.7,158.9,152.6,63,107,163.1,252.1,60,400.4
ED22,1036,7/18/2021,70,10:13,54,1.6,80.3,52.3,26.4,150.5,144.4,45,9,148.4,157.7,30,215.2
ED23,1002,7/18/2021,74,11:19,47.6,1.6,91.9,117.8,53.5,152.2,151.4,65,28,190.5,230.9,70,280.3
ED24,1009,7/18/2021,78,11:49,52.7,1.5,88.4,64.4,51.7,154.8,158.8,56,7,157.7,171.2,20,220.2
ED25,2006,7/17/2021,62,11:43,60.4,3.6,84.9,98.4,73.4,165.9,142.5,39,10,171.5,152.7,18,222.4
ED26,1009,7/17/2021,56,10:11,65.4,3.2,79.5,24.5,18.8,176.2,153.8,21,2,186.7,161.5,12,233
ED27,2003,7/17/2021,66,12:10,53.4,2.4,86.2,58.7,50.6,154.7,147.5,0,0,159.1,143.6,5,181
ED28,2000,7/18/2021,68,9:53,59.1,1,77.5,78.5,53.4,151.5,141.9,37,12,159.5,186.4,30,254.1
ED29,2010,7/17/2021,61,10:50,62.4,6.9,80.9,75.8,49.5,153.2,131,24,6,163.2,146.5,30,231.2
ED30,2005,7/17/2021,64,11:57,54.4,2.1,84.8,81.8,63.9,166.1,147.4,38,10,170.3,152.6,20,210.4
ED31,2000,7/17/2021,63,11:51,58.3,0.8,85.3,195.3,135.4,169.3,144.9,45,16,182.8,160.2,25,254.1
ED32,2010,7/18/2021,76,11:36,47.2,1.4,88.7,56.6,34.7,151.7,150.8,34,6,160.3,179.6,35,250.5
ED33,2003,7/17/2021,60,10:43,61.7,2.8,80.5,69.1,50.8,162.2,139.6,30,19,158.3,198.6,25,177.6
ED34,2005,7/17/2021,59,10:38,63.8,4.6,79.6,35.6,27.6,169.9,139.9,42,4,161.4,166.2,18,207
ED35,2001,7/17/2021,55,10:03,72.2,1.9,79.3,146.5,104.6,170.6,147.1,0,0,193.5,165,5,NA
ED36,2000,7/18/2021,79,11:56,45.9,1.1,92.3,186.6,138.9,146.6,136.5,43,82,139.5,187.4,18,196.4
ED37,1022,7/18/2021,75,11:26,48.8,1.9,83.5,380.6,80.1,153.4,164.2,67,129,241.8,284.4,80,470.1
ED38,1021,7/17/2021,58,10:24,62.4,1.6,81.8,192.9,96.9,168.5,143.8,70,67,182.4,193.5,70,255
ED39,1000,7/18/2021,71,10:19,54.5,2,79.8,145.2,116.2,150.6,140.2,49,36,151.3,150.7,15,204.4
ED40,2001,7/18/2021,77,11:42,49.5,1.5,86.4,162.2,66.4,150.8,156.8,58,52,158.2,183.4,45,239.4
ED41,1059,7/17/2021,65,12:04,57.2,2.3,88.7,249.2,174.3,162.4,140,50,29,180.1,182.7,40,247.2
ED42,1002,7/17/2021,57,10:18,65.1,2.4,80.3,36.3,27.2,169.3,138.9,33,5,179.3,156.9,15,314
ED43,2005,7/18/2021,73,10:33,61.3,1.5,82.6,127.4,95.7,153.4,141.3,34,20,154.6,167.5,20,233.1
ME01,1022,6/22/2021,29,9:44,53.6,1.3,76.4,228.3,200.2,165,155.8,0,0,160.8,149.2,2,225
ME02,1002,6/22/2021,33,11:03,42.2,1.7,80.7,108.9,81.4,161.3,146.7,30,20,169.3,168,16,219
ME03,1113,6/23/2021,43,10:01,61.7,4.5,79.3,126.1,83.3,170.3,158.4,22,4,171.7,170.1,48,260
ME04,2006,6/22/2021,35,11:18,47.6,1.8,81.9,38.7,17.2,170.14,160,3,5,172.2,186.8,48,240
ME05,1000,6/22/2021,28,9:34,49.8,2.8,71.1,223.3,123.5,160.6,142.7,45,9,215,180,55,220
ME06,1113,6/22/2021,31,10:01,51.6,1.2,77.7,58.3,40.7,130.2,161.2,23,20,142,160.7,8,248
ME07,2003,6/22/2021,36,11:25,44.3,3.8,81,117.7,103.4,168,156.7,5,11,168.2,159.3,15,326
ME08,2005,6/22/2021,27,9:21,50.9,2.4,69.8,21.1,15.5,168.9,152.6,36,7,159,140.2,20,238
ME09,2007,6/23/2021,49,11:31,54.7,8.3,85.5,127,100,163.3,149,12,7,177,170.1,12,317
RE01,1022,4/6/2021,10,9:36,59.7,1.3,72.4,196,164.1,127,126,0,0,136,124,1,137
RE02,1059,4/6/2021,18,11:31,24.4,0,88,98.1,60.3,141,123,36,20,141,150,20,363
RE03,1100,4/6/2021,20,11:43,31.5,1.2,87.5,325.9,83.3,137,129,36,318,171,131,95,407
RE04,1078,4/6/2021,22,12:32,41.9,0.8,80.2,33.4,24.5,135,123,0,0,139,130,5,160
RE05,1085,1/6/2021,7,1:15,30.5,1.1,83.3,186.6,166.2,143,135,14,14,140,131,5,NA
RE06,1021,1/6/2021,1,11:31,44,0.6,84,195.4,63.5,145,149,47,71,147,216,85,NA
RE07,1002,4/6/2021,12,10:07,57,1,73.1,77.3,24.1,145,135,37,51,143,192,80,245
RE08,1022,6/22/2021,37,11:33,51,1.2,84.2,381.9,266.9,165.3,157.3,33,40,155,141,9,170
RE09,1002,6/22/2021,39,11:49,46.9,2.7,83.2,49.3,39.5,168,164.9,35,41,185.9,180.8,45,313
RE10,1021,6/22/2021,38,11:42,44.2,1.1,81.5,98.7,68.7,171.6,156.2,34,26,179.1,168.5,35,245
RE11,1000,6/22/2021,34,11:11,45.6,1,82.6,164.7,108.6,174.13,158,46,40,215.5,196.2,32,228.4
RE12,1036,6/22/2021,26,9:09,50.2,2.7,71.7,245.8,190.5,170,151,39,38,176,147,12,324
RE13,2003,6/22/2021,32,10:11,43.9,1.1,76.6,100.6,90.8,157.8,154.1,2,2,157.2,153.6,3,210
RE14,2005,6/23/2021,47,10:34,58.6,8,81.6,38,22.7,172.8,151.1,5,8,195,168.6,30,265
RE15,1021,6/23/2021,46,10:26,59.9,5,81.4,221.7,179,174.5,152,41,27,177.3,155.1,20,278
RE16,1002,6/23/2021,54,12:05,40.2,6.7,91.4,57.3,48.8,155.4,127.6,31,8,109.6,99.5,6,241.4
RE17,1022,6/23/2021,53,11:58,54.4,6.6,88.1,244.1,39.2,164.2,150.8,74,125,306.2,158.1,85,534.1
RE18,1009,6/23/2021,42,9:53,62.9,4.6,79.2,60.2,42.8,166.4,158.8,51,5,182,177.6,35,252
RE19,1036,6/23/2021,41,9:41,64.8,2,79.2,71.4,43.2,169.1,158.9,24,7,163.4,159.2,18,245.5
RE20,1000,6/23/2021,40,9:35,66,6.3,77.7,74.3,54.7,159.5,141.9,19,12,165.3,159.8,15,230
